close,high,low,open,time,volume
2.2467,2.2479,2.246,2.2468,1749748200,24696
2.2466,2.2486,2.2456,2.2478,1749747900,55368
2.2477,2.248,2.2412,2.2422,1749747600,79128
2.2421,2.2433,2.2395,2.2417,1749747300,37734
2.2418,2.2429,2.2389,2.2422,1749747000,75076
2.2426,2.246,2.2406,2.2446,1749746700,79000
2.2445,2.245,2.2417,2.2426,1749746400,41941
2.2427,2.2457,2.2414,2.2428,1749746100,61515
2.2425,2.2442,2.241,2.2442,1749745800,49074
2.245,2.2465,2.2414,2.2423,1749745500,87450
2.2421,2.2426,2.2397,2.2405,1749745200,35204
2.2403,2.2414,2.2369,2.2371,1749744900,76502
2.2371,2.2388,2.235,2.2361,1749744600,43878
2.2361,2.2374,2.23,2.23,1749744300,47455
2.23,2.2326,2.227,2.2279,1749744000,48732
2.2278,2.2309,2.2266,2.2286,1749743700,52551
2.2288,2.2336,2.227,2.2317,1749743400,117048
2.2318,2.2408,2.2312,2.2408,1749743100,139998
2.2408,2.2422,2.2375,2.2385,1749742800,45423
2.2389,2.2415,2.2379,2.2393,1749742500,33048
2.2394,2.24,2.2361,2.2373,1749742200,60037
2.2371,2.2389,2.2343,2.238,1749741900,96712
2.2385,2.2432,2.2379,2.243,1749741600,161736
2.2436,2.2477,2.2422,2.2455,1749741300,94428
2.2454,2.2495,2.2452,2.2482,1749741000,31572
2.2481,2.2516,2.248,2.2494,1749740700,44379
2.2496,2.2501,2.2461,2.2477,1749740400,66287
2.2475,2.2509,2.2466,2.2505,1749740100,17169
2.2503,2.2516,2.2493,2.2508,1749739800,45026
2.2508,2.2508,2.2482,2.2487,1749739500,19367
2.2484,2.2508,2.2467,2.2508,1749739200,30713
2.2502,2.2511,2.2478,2.2484,1749738900,46387
2.2482,2.2486,2.2438,2.2456,1749738600,29099
2.2452,2.2487,2.2442,2.2467,1749738300,42159
2.246,2.2482,2.245,2.248,1749738000,81090
2.248,2.2508,2.2464,2.2504,1749737700,70582
2.2505,2.251,2.2472,2.249,1749737400,65558
2.2483,2.2489,2.2449,2.2451,1749737100,78007
2.2449,2.2465,2.244,2.244,1749736800,55952
2.2438,2.2443,2.2406,2.2441,1749736500,58329
2.2443,2.2457,2.2408,2.2415,1749736200,95403
2.2417,2.243,2.2398,2.2425,1749735900,39958
2.2424,2.2438,2.2414,2.2424,1749735600,35433
2.242,2.243,2.2381,2.2397,1749735300,92310
2.2392,2.241,2.2332,2.2346,1749735000,41467
2.2346,2.2352,2.2314,2.2337,1749734700,33768
2.2339,2.2413,2.2325,2.2387,1749734400,96423
2.2387,2.2395,2.2367,2.2367,1749734100,30668
2.2363,2.2376,2.2352,2.236,1749733800,45648
2.2364,2.2383,2.2346,2.236,1749733500,46970
2.236,2.2365,2.232,2.2334,1749733200,45770
2.233,2.233,2.2303,2.2313,1749732900,33341
