,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000001175,103375.4,103414.4,103349.9,103414.4,1747472100,1220,2025-05-17 08:55:00,73.65417002623862,73.03242940325873,0.6217406229798996,STRONG_BULL,0,0,True,103506.5,103208.8,False,False,orange,103346.90471854861,103070.32642762575,103208.61557308718,1.0,0,0
1970-01-01 00:00:00.000001174,103414.4,103433.9,103388.7,103412.3,1747471800,984,2025-05-17 08:50:00,74.99940232991605,74.01591586658739,0.98348646332866,STRONG_BULL,0,0,True,103506.5,103208.8,False,False,orange,103346.90471854861,103070.32642762575,103208.61557308718,1.0,0,0
1970-01-01 00:00:00.000001173,103412.2,103436.8,103406.9,103428.9,1747471500,524,2025-05-17 08:45:00,74.76014178710383,74.38802882684561,0.37211296025822094,STRONG_BULL,0,0,True,103506.5,103208.8,False,False,orange,103346.90471854861,103070.32642762575,103208.61557308718,1.0,0,0
1970-01-01 00:00:00.000001172,103428.8,103524.6,103415.1,103500.0,1747471200,538,2025-05-17 08:40:00,75.41761814327546,74.90282348506054,0.5147946582149245,STRONG_BULL,0,0,False,,,False,False,,103346.90471854861,103070.32642762575,103208.61557308718,1.0,0,0
1970-01-01 00:00:00.000001171,103503.8,103503.8,103445.0,103461.1,1747470900,832,2025-05-17 08:35:00,78.26046893667177,76.58164621086615,1.6788227258056168,STRONG_BULL,0,0,True,103524.6,103415.1,False,False,orange,103451.50157284953,103149.67688709476,103300.58922997215,1.0,0,0
1970-01-01 00:00:00.000001170,103445.0,103508.1,103445.0,103452.2,1747470600,2524,2025-05-17 08:30:00,71.09802559521066,73.8398359030384,-2.7418103078277483,WEAK_BEAR,0,0,True,103524.6,103415.1,False,False,orange,103451.50157284953,103149.67688709476,103300.58922997215,1.0,0,0
1970-01-01 00:00:00.000001169,103411.0,103411.0,103187.6,103187.6,1747470300,2164,2025-05-17 08:25:00,67.14962312696984,70.49472951500412,-3.3451063880342815,WEAK_BEAR,0,0,False,,,False,True,,103451.50157284953,103149.67688709476,103300.58922997215,1.0,0,0
1970-01-01 00:00:00.000001168,103152.0,103326.4,103061.4,103323.6,1747470000,5589,2025-05-17 08:20:00,45.67852409780584,58.08662680640498,-12.408102708599145,WEAK_BEAR,0,0,False,,,False,False,,103469.06519336649,103151.2256290316,103310.14541119905,1.0,0,0
1970-01-01 00:00:00.000001167,103330.9,103336.1,103294.8,103318.9,1747469700,1228,2025-05-17 08:15:00,56.382389363772305,57.23450808508864,-0.8521187213163373,WEAK_BEAR,0,0,False,,,False,False,,103469.06519336649,103151.2256290316,103310.14541119905,1.0,0,0
1970-01-01 00:00:00.000001166,103298.0,103309.1,103276.5,103300.2,1747469400,2655,2025-05-17 08:10:00,54.20010061591976,55.7173043505042,-1.5172037345844416,WEAK_BEAR,0,0,True,103336.1,103294.8,False,False,orange,103469.06519336649,103151.2256290316,103310.14541119905,1.0,0,0
