,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,atr,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000001533,1749825000,208755,2025-06-13 14:30:00,2511.4125,2516.5449290648903,2517.85,2503.2,0,0,15.140316784799877,False,False,2.0,0
1970-01-01 00:00:00.000001534,1749825300,160845,2025-06-13 14:35:00,2519.2124999999996,2513.9787145324453,2524.1,2512.4,0,0,15.464423927657013,False,False,3.0,0
1970-01-01 00:00:00.000001535,1749825600,210577,2025-06-13 14:40:00,2525.85,2516.5956072662225,2532.35,2516.5956072662225,0,0,15.84688055149825,False,False,4.0,0
1970-01-01 00:00:00.000001536,1749825900,113357,2025-06-13 14:45:00,2526.5249999999996,2521.222803633111,2529.85,2521.222803633111,0,0,15.220410641604108,False,False,5.0,0
1970-01-01 00:00:00.000001537,1749826200,128057,2025-06-13 14:50:00,2528.8875,2523.873901816555,2533.8,2522.95,0,0,15.12272224498247,False,False,6.0,0
1970-01-01 00:00:00.000001538,1749826500,205620,2025-06-13 14:55:00,2536.1125,2526.3807009082775,2539.65,2526.3807009082775,1,0,15.379457894391212,True,False,7.0,1
1970-01-01 00:00:00.000001539,1749826800,146673,2025-06-13 15:00:00,2534.4875,2531.246600454139,2539.2,2529.55,0,0,15.093743608676927,False,False,1.0,0
1970-01-01 00:00:00.000001540,1749827100,316121,2025-06-13 15:05:00,2542.1,2532.8670502270697,2554.95,2530.3,0,0,16.038320729683164,True,False,2.0,0
1970-01-01 00:00:00.000001541,1749827400,142394,2025-06-13 15:10:00,2548.6125,2537.4835251135346,2552.05,2537.4835251135346,0,0,15.628783221573551,False,False,1.0,0
1970-01-01 00:00:00.000001542,1749827700,82907,2025-06-13 15:15:00,2545.8125,2543.0480125567674,2548.45,2542.0,0,0,14.708231073253728,False,False,2.0,0
1970-01-01 00:00:00.000001543,1749828000,176140,2025-06-13 15:20:00,2547.6375,2544.4302562783837,2557.45,2542.35,0,0,14.691704999093806,False,False,3.0,0
1970-01-01 00:00:00.000001544,1749828300,78486,2025-06-13 15:25:00,2548.775,2546.033878139192,2552.9,2545.1,0,0,14.022281247728156,False,False,4.0,0
1970-01-01 00:00:00.000001545,1749828600,61767,2025-06-13 15:30:00,2550.5750000000003,2547.4044390695963,2552.9,2547.4044390695963,0,0,12.624305867074131,False,False,5.0,0
1970-01-01 00:00:00.000001546,1749828900,60265,2025-06-13 15:35:00,2549.1000000000004,2548.9897195347985,2552.5,2544.55,0,0,11.975923143518425,False,False,6.0,0
1970-01-01 00:00:00.000001547,1749829200,104611,2025-06-13 15:40:00,2553.3374999999996,2549.0448597673994,2559.25,2548.9,0,0,11.668780286375554,False,False,7.0,0
1970-01-01 00:00:00.000001548,1749829500,98556,2025-06-13 15:45:00,2555.8625,2551.1911798836995,2559.7,2551.1911798836995,0,0,11.370303151825576,True,False,8.0,0
1970-01-01 00:00:00.000001549,1749829800,77110,2025-06-13 15:50:00,2553.8624999999997,2553.52683994185,2558.1,2551.45,0,0,10.719989385127194,False,False,1.0,0
1970-01-01 00:00:00.000001550,1749830100,147503,2025-06-13 15:55:00,2549.275,2553.694669970925,2553.694669970925,2543.15,0,0,10.868939644635118,False,True,2.0,0
1970-01-01 00:00:00.000001551,1749830400,77855,2025-06-13 16:00:00,2551.2,2551.484834985463,2555.15,2545.75,0,0,10.765368216063669,False,False,1.0,0
1970-01-01 00:00:00.000001552,1749830700,113390,2025-06-13 16:05:00,2556.0375000000004,2551.3424174927313,2559.6,2551.3424174927313,0,0,10.41756113808349,True,False,2.0,0
1970-01-01 00:00:00.000001553,1749831000,497280,2025-06-13 16:10:00,2568.5375,2553.689958746366,2579.45,2553.689958746366,0,0,11.568278370485944,False,False,1.0,0
1970-01-01 00:00:00.000001554,1749831300,335617,2025-06-13 16:15:00,2576.8125,2561.1137293731827,2584.55,2561.1137293731827,0,0,11.481583415258651,False,False,1.0,0
1970-01-01 00:00:00.000001555,1749831600,196483,2025-06-13 16:20:00,2571.1125,2568.9631146865913,2574.35,2566.05,0,0,11.20987092336824,False,False,2.0,0
1970-01-01 00:00:00.000001556,1749831900,132029,2025-06-13 16:25:00,2568.6,2570.0378073432958,2572.75,2563.75,0,0,11.38040663765394,False,False,3.0,0
1970-01-01 00:00:00.000001557,1749832200,107469,2025-06-13 16:30:00,2565.9375,2569.3189036716476,2569.35,2563.1,0,0,10.74826378051109,False,False,4.0,0
1970-01-01 00:00:00.000001558,1749832500,168887,2025-06-13 16:35:00,2560.0875,2567.628201835824,2567.628201835824,2554.65,0,0,11.11813534021277,False,False,5.0,0
1970-01-01 00:00:00.000001559,1749832800,193172,2025-06-13 16:40:00,2556.075,2563.857850917912,2563.857850917912,2551.75,0,0,11.590441767891921,False,False,6.0,0
1970-01-01 00:00:00.000001560,1749833100,211379,2025-06-13 16:45:00,2551.7625,2559.966425458956,2559.966425458956,2543.1,0,0,12.227329300674521,False,True,7.0,0
1970-01-01 00:00:00.000001561,1749833400,156247,2025-06-13 16:50:00,2553.5125,2555.864462729478,2560.35,2546.9,0,0,12.448757872103085,False,False,1.0,0
1970-01-01 00:00:00.000001562,1749833700,139353,2025-06-13 16:55:00,2560.4625,2554.688481364739,2562.6,2554.688481364739,0,0,12.490092149510215,True,False,2.0,0
1970-01-01 00:00:00.000001563,1749834000,135273,2025-06-13 17:00:00,2557.375,2557.5754906823695,2561.0,2553.5,0,0,12.550806435224493,False,False,1.0,0
1970-01-01 00:00:00.000001564,1749834300,131203,2025-06-13 17:05:00,2553.0125,2557.4752453411847,2557.4752453411847,2547.5,0,0,12.498145388166288,False,True,2.0,0
1970-01-01 00:00:00.000001565,1749834600,114579,2025-06-13 17:10:00,2550.7375,2555.2438726705923,2555.2438726705923,2546.6,0,1,12.444136293208592,False,False,1.0,-1
1970-01-01 00:00:00.000001566,1749834900,309577,2025-06-13 17:15:00,2544.15,2552.9906863352962,2552.9906863352962,2536.5,0,0,13.02204246001546,False,True,2.0,-1
1970-01-01 00:00:00.000001567,1749835200,142356,2025-06-13 17:20:00,2545.5,2548.5703431676484,2552.0,2541.95,0,0,11.899896656184476,False,False,1.0,0
1970-01-01 00:00:00.000001568,1749835500,174974,2025-06-13 17:25:00,2540.0375,2547.035171583824,2547.035171583824,2534.45,0,0,11.124818153113536,False,False,2.0,0
1970-01-01 00:00:00.000001569,1749835800,94642,2025-06-13 17:30:00,2537.45,2543.5363357919123,2543.5363357919123,2534.0,0,0,11.037234995392996,False,False,3.0,0
1970-01-01 00:00:00.000001570,1749836100,121514,2025-06-13 17:35:00,2541.0625,2540.493167895956,2545.45,2535.0,0,0,11.140806423964412,False,False,4.0,0
1970-01-01 00:00:00.000001571,1749836400,68405,2025-06-13 17:40:00,2540.25,2540.7778339479783,2545.05,2535.75,0,0,11.358663566821567,False,False,5.0,0
1970-01-01 00:00:00.000001572,1749836700,317689,2025-06-13 17:45:00,2530.8625,2540.513916973989,2540.513916973989,2521.9,0,0,11.761214648119092,False,True,6.0,0
1970-01-01 00:00:00.000001573,1749837000,202434,2025-06-13 17:50:00,2532.7,2535.688208486995,2539.45,2527.0,0,0,11.785653868268225,False,False,1.0,0
1970-01-01 00:00:00.000001574,1749837300,125263,2025-06-13 17:55:00,2539.5375000000004,2534.1941042434973,2544.75,2534.1941042434973,0,0,11.441623478342795,False,False,2.0,0
1970-01-01 00:00:00.000001575,1749837600,171537,2025-06-13 18:00:00,2536.1000000000004,2536.865802121749,2545.0,2525.9,0,0,11.84519490691423,False,False,3.0,0
1970-01-01 00:00:00.000001576,1749837900,131167,2025-06-13 18:05:00,2530.1875,2536.4829010608746,2537.05,2524.5,0,0,12.092516335485666,False,False,4.0,0
1970-01-01 00:00:00.000001577,1749838200,69567,2025-06-13 18:10:00,2529.2125,2533.3352005304373,2533.55,2526.4,0,0,12.067516335485672,False,False,5.0,0
1970-01-01 00:00:00.000001578,1749838500,205790,2025-06-13 18:15:00,2524.8375,2531.2738502652187,2531.2738502652187,2517.5,0,0,12.338845258630954,False,False,6.0,0
1970-01-01 00:00:00.000001579,1749838800,143302,2025-06-13 18:20:00,2525.475,2528.0556751326094,2531.55,2520.05,0,0,12.542854353588641,False,False,7.0,0
1970-01-01 00:00:00.000001580,1749839100,113284,2025-06-13 18:25:00,2523.825,2526.765337566305,2528.7,2518.05,0,0,12.125662472496028,False,False,8.0,0
1970-01-01 00:00:00.000001581,1749839400,177593,2025-06-13 18:30:00,2517.75,2525.2951687831523,2525.2951687831523,2512.35,0,0,12.332460242721188,False,True,9.0,0
1970-01-01 00:00:00.000001582,1749839700,184502,2025-06-13 18:35:00,2513.675,2521.522584391576,2521.522584391576,2509.3,0,0,12.306561157560575,False,False,1.0,0
1970-01-01 00:00:00.000001583,1749840000,94649,2025-06-13 18:40:00,2513.2,2517.598792195788,2517.598792195788,2509.65,0,0,12.193165186408837,False,False,2.0,0
